OPSIN_lookup_name,OPSIN_lookup_inchi,OPSIN_lookup_comments
(z)-3-hexenyl tiglate,"InChI=1/C11H18O2/c1-4-6-7-8-9-13-11(12)10(3)5-2/h5-7H,4,8-9H2,1-3H3/b7-6-,10-5+",
borneol,"InChI=1/C10H18O/c1-9(2)7-4-5-10(9,3)8(11)6-7/h7-8,11H,4-6H2,1-3H3",
spathulenol,,spathulenol is unparsable due to the following being uninterpretable: spathulenol The following was not parseable: spathulenol
alpha-terpinene,,Disagreement between number of locants(alpha) and ring assembly multiplier: 3
alpha-terpineol,,alpha-terpineol is unparsable due to the following being uninterpretable: alpha-terpineol The following was not parseable: eol
carvacrol,"InChI=1/C10H14O/c1-7(2)9-5-4-8(3)10(11)6-9/h4-7,11H,1-3H3",
2-decanone,"InChI=1/C10H20O/c1-3-4-5-6-7-8-9-10(2)11/h3-9H2,1-2H3",
viridiflorol,,viridiflorol is unparsable due to the following being uninterpretable: viridiflorol The following was not parseable: viridiflorol
humulene epoxide iii,,humulene epoxide iii is unparsable due to the following being uninterpretable: humulene epoxide iii The following was not parseable: humulene epoxide iii
allo-aromadendrene,,allo-aromadendrene is unparsable due to the following being uninterpretable: allo-aromadendrene The following was not parseable: aromadendrene
(e)-geranyl acetone,"InChI=1/C13H22O/c1-11(2)7-5-8-12(3)9-6-10-13(4)14/h7,9H,5-6,8,10H2,1-4H3/b12-9+",
"sandaracopimara-8(14),15-diene",,"'standardization-8(14),15-diene'' is unparsable due to the following being uninterpretable: ''sandaracopimara-8(14),15-diene'' The following was not parseable: ''sandaracopimara-8(14),15-diene''"
myrtenol,,myrtenol is unparsable due to the following being uninterpretable: myrtenol The following was not parseable: myrtenol
beta-damascenone,,beta-damascenone is unparsable due to the following being uninterpretable: beta-damascenone The following was not parseable: amascenone
chrysanthenone,,chrysanthenone is unparsable due to the following being uninterpretable: chrysanthenone The following was not parseable: anthenone
p-cymen-8-ol,,Could not find the atom with locant 8.
